Datetime,Symbol,Open,High,Low,Close,Volume
2025-04-30 14:16:00,TQQQ,51.62,51.63,51.47,51.52,443724.0
2025-04-30 14:17:00,TQQQ,51.52,51.52,51.4135,51.43,291336.0
2025-04-30 14:18:00,TQQQ,51.42,51.55,51.41,51.525,235089.0
2025-04-30 14:19:00,TQQQ,51.51,51.73,51.48,51.7027,428964.0
2025-04-30 14:20:00,TQQQ,51.7,51.769,51.61,51.69,417155.0
2025-04-30 14:21:00,TQQQ,51.69,51.7498,51.61,51.6799,271419.0
2025-04-30 14:22:00,TQQQ,51.675,51.68,51.57,51.57,183225.0
2025-04-30 14:23:00,TQQQ,51.575,51.7452,51.55,51.7,262652.0
2025-04-30 14:24:00,TQQQ,51.7093,51.9,51.705,51.8601,412457.0
2025-04-30 14:25:00,TQQQ,51.86,51.86,51.7313,51.8052,363578.0
2025-04-30 14:26:00,TQQQ,51.8,51.95,51.78,51.95,329122.0
2025-04-30 14:27:00,TQQQ,51.945,51.945,51.8222,51.91,316916.0
2025-04-30 14:28:00,TQQQ,51.9,51.92,51.8,51.89,214562.0
2025-04-30 14:29:00,TQQQ,51.88,52.08,51.86,52.035,621842.0
2025-04-30 14:30:00,TQQQ,52.035,52.15,51.915,52.125,479858.0
2025-04-30 14:31:00,TQQQ,52.13,52.275,52.13,52.21,585633.0
2025-04-30 14:32:00,TQQQ,52.21,52.31,52.11,52.15,673938.0
2025-04-30 14:33:00,TQQQ,52.15,52.3,52.15,52.21,462407.0
2025-04-30 14:34:00,TQQQ,52.2205,52.285,52.13,52.15,325504.0
2025-04-30 14:35:00,TQQQ,52.145,52.145,51.94,52.005,803625.0
2025-04-30 14:36:00,TQQQ,52.01,52.0553,51.88,51.8988,395177.0
2025-04-30 14:37:00,TQQQ,51.895,52.03,51.885,51.94,293091.0
2025-04-30 14:38:00,TQQQ,51.95,51.97,51.79,51.93,345031.0
2025-04-30 14:39:00,TQQQ,51.93,52.1,51.92,52.0,335643.0
2025-04-30 14:40:00,TQQQ,52.01,52.04,51.87,51.935,295727.0
2025-04-30 14:41:00,TQQQ,51.88,51.9,51.76,51.79,437129.0
2025-04-30 14:42:00,TQQQ,51.8,51.96,51.75,51.9599,245251.0
2025-04-30 14:43:00,TQQQ,51.95,52.24,51.915,52.235,431397.0
2025-04-30 14:44:00,TQQQ,52.2335,52.405,52.23,52.31,653743.0
2025-04-30 14:45:00,TQQQ,52.3,52.31,52.14,52.3,372049.0
2025-04-30 14:46:00,TQQQ,52.27,52.3,52.1724,52.18,215053.0
2025-04-30 14:47:00,TQQQ,52.185,52.229,52.04,52.12,327972.0
2025-04-30 14:48:00,TQQQ,52.12,52.3,52.08,52.09,308649.0
2025-04-30 14:49:00,TQQQ,52.09,52.21,52.04,52.165,183427.0
2025-04-30 14:50:00,TQQQ,52.165,52.22,51.89,51.9,419818.0
2025-04-30 14:51:00,TQQQ,51.9004,51.9799,51.84,51.894,279405.0
2025-04-30 14:52:00,TQQQ,51.897152,52.22,51.897152,52.215,264244.0
2025-04-30 14:53:00,TQQQ,52.2201,52.335,52.19,52.26,443602.0
2025-04-30 14:54:00,TQQQ,52.2507,52.38,52.1,52.1007,284822.0
2025-04-30 14:55:00,TQQQ,52.11,52.14,52.02,52.06,177514.0
2025-04-30 14:56:00,TQQQ,52.06,52.07,51.93,52.0652,135794.0
2025-04-30 14:57:00,TQQQ,52.07,52.38,52.06,52.275,388301.0
2025-04-30 14:58:00,TQQQ,52.2798,52.42,52.2798,52.3598,330083.0
2025-04-30 14:59:00,TQQQ,52.355,52.4,52.152,52.2193,272873.0
2025-04-30 15:00:00,TQQQ,52.22,52.6,52.18,52.585,599854.0
2025-04-30 15:01:00,TQQQ,52.58,52.59,52.425,52.5,458854.0
2025-04-30 15:02:00,TQQQ,52.4908,52.61,52.4908,52.6099,526691.0
2025-04-30 15:03:00,TQQQ,52.6,52.65,52.3801,52.386,412316.0
2025-04-30 15:04:00,TQQQ,52.381,52.53,52.37,52.5092,226725.0
2025-04-30 15:05:00,TQQQ,52.4952,52.55,52.4,52.509944,335238.0
2025-04-30 15:06:00,TQQQ,52.495,52.52,52.435,52.515,175392.0
2025-04-30 15:07:00,TQQQ,52.49,52.65,52.49,52.58,371380.0
2025-04-30 15:08:00,TQQQ,52.586,52.6148,52.52,52.6148,130278.0
2025-04-30 15:09:00,TQQQ,52.615,52.77,52.61,52.7008,404725.0
2025-04-30 15:10:00,TQQQ,52.715,52.7699,52.63,52.71,351305.0
2025-04-30 15:11:00,TQQQ,52.7005,52.79,52.63,52.675,348582.0
2025-04-30 15:12:00,TQQQ,52.6648,52.83,52.6407,52.7824,254079.0
2025-04-30 15:13:00,TQQQ,52.78,52.84,52.69,52.84,438702.0
2025-04-30 15:14:00,TQQQ,52.8379,52.84,52.7,52.71,272712.0
2025-04-30 15:15:00,TQQQ,52.71,52.76,52.6601,52.72,223246.0
2025-04-30 15:16:00,TQQQ,52.73,52.82,52.6948,52.8,160201.0
2025-04-30 15:17:00,TQQQ,52.815,52.88,52.7701,52.8337,309203.0
2025-04-30 15:18:00,TQQQ,52.835,52.91,52.81,52.895,412730.0
2025-04-30 15:19:00,TQQQ,52.8998,52.905,52.81,52.8199,206799.0
2025-04-30 15:20:00,TQQQ,52.81,52.895,52.7701,52.865,230030.0
2025-04-30 15:21:00,TQQQ,52.865,53.0499,52.845,53.026,457986.0
2025-04-30 15:22:00,TQQQ,53.02,53.0599,52.9918,53.02,226400.0
2025-04-30 15:23:00,TQQQ,53.02,53.12,53.0,53.0099,297977.0
2025-04-30 15:24:00,TQQQ,53.005,53.03,52.76,52.7802,587395.0
2025-04-30 15:25:00,TQQQ,52.775,52.78,52.62,52.65,886143.0
2025-04-30 15:26:00,TQQQ,52.65,52.68,52.6293,52.66,266198.0
2025-04-30 15:27:00,TQQQ,52.6793,52.73,52.62,52.73,276697.0
2025-04-30 15:28:00,TQQQ,52.73,53.0,52.73,52.985,446083.0
2025-04-30 15:29:00,TQQQ,52.985,52.99,52.87,52.895,183539.0
2025-04-30 15:30:00,TQQQ,52.89,52.965,52.8323,52.925,161806.0
2025-04-30 15:31:00,TQQQ,52.935,52.96,52.8213,52.945,161471.0
2025-04-30 15:32:00,TQQQ,52.95,52.9999,52.91,52.965,215511.0
2025-04-30 15:33:00,TQQQ,52.96,52.9707,52.88,52.95,98003.0
2025-04-30 15:34:00,TQQQ,52.95,52.9999,52.87,52.9799,159682.0
2025-04-30 15:35:00,TQQQ,52.98,53.0087,52.8,52.91,414593.0
2025-04-30 15:36:00,TQQQ,52.915,53.0599,52.8501,52.895,311894.0
2025-04-30 15:37:00,TQQQ,52.9002,52.96,52.8114,52.8114,159270.0
2025-04-30 15:38:00,TQQQ,52.82,52.865,52.73,52.83,254324.0
2025-04-30 15:39:00,TQQQ,52.836,52.885,52.8,52.86,84487.0
2025-04-30 15:40:00,TQQQ,52.8601,52.95,52.81,52.81,115244.0
2025-04-30 15:41:00,TQQQ,52.81,52.9699,52.79,52.81,202723.0
2025-04-30 15:42:00,TQQQ,52.815,52.93,52.78,52.8352,140231.0
2025-04-30 15:43:00,TQQQ,52.84,53.0099,52.8103,52.9899,243197.0
2025-04-30 15:44:00,TQQQ,52.9871,53.2,52.92,53.185,813530.0
2025-04-30 15:45:00,TQQQ,53.18,53.19,53.035,53.17,379557.0
2025-04-30 15:46:00,TQQQ,53.165,53.1865,53.015,53.125,298493.0
2025-04-30 15:47:00,TQQQ,53.1226,53.13,53.02,53.1,106001.0
2025-04-30 15:48:00,TQQQ,53.096,53.096,52.99,53.025,109737.0
2025-04-30 15:49:00,TQQQ,53.0136,53.106,53.0136,53.0948,134465.0
2025-04-30 15:50:00,TQQQ,53.1,53.1599,53.0599,53.116,178825.0
2025-04-30 15:51:00,TQQQ,53.1197,53.15,50.96,52.998,210238.0
2025-04-30 15:52:00,TQQQ,53.01,53.11,52.9801,52.9901,136611.0
2025-04-30 15:53:00,TQQQ,52.995,52.9952,52.835,52.925,248875.0
2025-04-30 15:54:00,TQQQ,52.915,53.065,52.89,53.0318,155495.0
2025-04-30 15:55:00,TQQQ,53.04,53.15,52.99,53.15,203105.0
2025-04-30 15:56:00,TQQQ,53.15,53.24,53.1207,53.135,443591.0
2025-04-30 15:57:00,TQQQ,53.15,53.185,52.9,52.9007,235591.0
2025-04-30 15:58:00,TQQQ,52.9101,53.1965,52.8322,53.158,376959.0
2025-04-30 15:59:00,TQQQ,53.1525,53.1775,53.035,53.135,104954.0
2025-04-30 16:00:00,TQQQ,53.13,53.23,53.1,53.112,234073.0
2025-04-30 16:01:00,TQQQ,53.11,53.19,53.0125,53.0125,121714.0
2025-04-30 16:02:00,TQQQ,53.0118,53.105,52.975,53.06,133099.0
2025-04-30 16:03:00,TQQQ,53.075,53.11,53.0226,53.09,98802.0
2025-04-30 16:04:00,TQQQ,53.085,53.19,53.0699,53.185,120916.0
2025-04-30 16:05:00,TQQQ,53.1899,53.32,53.1833,53.31,348335.0
2025-04-30 16:06:00,TQQQ,53.31,53.39,53.2706,53.38,305596.0
2025-04-30 16:07:00,TQQQ,53.38,53.39,53.2127,53.275,239923.0
2025-04-30 16:08:00,TQQQ,53.28,53.29,53.14,53.2,104847.0
2025-04-30 16:09:00,TQQQ,53.2,53.205,53.12,53.135,134527.0
2025-04-30 16:10:00,TQQQ,53.14,53.15,52.97,52.99,257165.0
2025-04-30 16:11:00,TQQQ,52.99,53.05,52.94,53.01,310974.0
2025-04-30 16:12:00,TQQQ,53.02,53.188,52.97,53.12,248899.0
2025-04-30 16:13:00,TQQQ,53.1248,53.14,52.96,52.97,290293.0
2025-04-30 16:14:00,TQQQ,52.965,53.0693,52.96,52.9799,117995.0
2025-04-30 16:15:00,TQQQ,52.97,53.08,52.94,52.9648,183680.0
2025-04-30 16:16:00,TQQQ,52.96,52.96,52.84,52.841,306961.0
2025-04-30 16:17:00,TQQQ,52.8499,53.055,52.845,52.95,208540.0
2025-04-30 16:18:00,TQQQ,52.97,53.06,52.94,52.975,157162.0
2025-04-30 16:19:00,TQQQ,52.99,53.03,52.88,52.902,98754.0
2025-04-30 16:20:00,TQQQ,52.91,52.95,52.83,52.8899,131582.0
2025-04-30 16:21:00,TQQQ,52.865,52.935,52.8,52.825,175270.0
2025-04-30 16:22:00,TQQQ,52.8248,52.84,52.7,52.78,434561.0
2025-04-30 16:23:00,TQQQ,52.78,52.7999,52.67,52.695,512161.0
2025-04-30 16:24:00,TQQQ,52.695,52.7387,52.6401,52.675,230643.0
2025-04-30 16:25:00,TQQQ,52.67,52.71,52.59,52.61,311939.0
2025-04-30 16:26:00,TQQQ,52.61,52.74,52.53,52.74,236077.0
2025-04-30 16:27:00,TQQQ,52.74,52.7593,52.652,52.73,135296.0
2025-04-30 16:28:00,TQQQ,52.7252,52.7252,52.665,52.675,136011.0
2025-04-30 16:29:00,TQQQ,52.6764,52.72,52.6593,52.6651,120225.0
2025-04-30 16:30:00,TQQQ,52.66,52.68,52.5347,52.535,228880.0
2025-04-30 16:31:00,TQQQ,52.5302,52.64,52.48,52.5,226013.0
2025-04-30 16:32:00,TQQQ,52.51,52.57,52.45,52.505,209885.0
2025-04-30 16:33:00,TQQQ,52.5001,52.5986,52.475,52.5986,149255.0
2025-04-30 16:34:00,TQQQ,52.59,52.605,52.49,52.49,119873.0
2025-04-30 16:35:00,TQQQ,52.4967,52.57,52.48,52.555,116298.0
2025-04-30 16:36:00,TQQQ,52.55,52.6699,52.4207,52.665,349608.0
2025-04-30 16:37:00,TQQQ,52.66,52.91,52.654,52.91,569079.0
2025-04-30 16:38:00,TQQQ,52.91,52.985,52.85,52.91,338526.0
2025-04-30 16:39:00,TQQQ,52.9,53.02,52.84,53.0,275854.0
2025-04-30 16:40:00,TQQQ,53.005,53.09,52.9701,53.0,647647.0
2025-04-30 16:41:00,TQQQ,53.0199,53.095,52.99,53.045,189777.0
2025-04-30 16:42:00,TQQQ,53.05,53.1193,53.0157,53.0157,166250.0
2025-04-30 16:43:00,TQQQ,53.0214,53.045,52.9101,52.95,164010.0
2025-04-30 16:44:00,TQQQ,52.96,53.0,52.9,52.93,110250.0
2025-04-30 16:45:00,TQQQ,52.94,52.9801,52.86,52.975,132429.0
2025-04-30 16:46:00,TQQQ,52.975,53.02,52.9249,52.9607,118972.0
2025-04-30 16:47:00,TQQQ,52.97,53.005,52.8607,52.92,90464.0
2025-04-30 16:48:00,TQQQ,52.915,52.915,52.79,52.85,509499.0
2025-04-30 16:49:00,TQQQ,52.855,52.9499,52.8499,52.885,128261.0
2025-04-30 16:50:00,TQQQ,52.89,53.008,52.8401,52.9801,118103.0
2025-04-30 16:51:00,TQQQ,52.99,53.0399,52.88,53.035,148032.0
2025-04-30 16:52:00,TQQQ,53.0201,53.06,52.9607,52.9627,128117.0
2025-04-30 16:53:00,TQQQ,52.96,53.0502,52.92,53.0274,78288.0
2025-04-30 16:54:00,TQQQ,53.035,53.08,53.0,53.0697,54683.0
2025-04-30 16:55:00,TQQQ,53.06,53.1277,53.04,53.08,134250.0
2025-04-30 16:56:00,TQQQ,53.0898,53.14,53.065,53.0999,137195.0
2025-04-30 16:57:00,TQQQ,53.095,53.095,52.935,53.005,171815.0
2025-04-30 16:58:00,TQQQ,52.985,53.0576,52.9748,53.0,51929.0
2025-04-30 16:59:00,TQQQ,53.0,53.1,52.93,53.095,108073.0
2025-04-30 17:00:00,TQQQ,53.095,53.21,53.0503,53.166,337839.0
2025-04-30 17:01:00,TQQQ,53.17,53.2187,53.1293,53.1799,207124.0
2025-04-30 17:02:00,TQQQ,53.18,53.2193,53.135,53.1625,82534.0
2025-04-30 17:03:00,TQQQ,53.1622,53.17,53.08,53.095,107393.0
2025-04-30 17:04:00,TQQQ,53.0801,53.1,53.0,53.0599,130263.0
2025-04-30 17:05:00,TQQQ,53.0503,53.0503,52.8612,52.8701,204961.0
2025-04-30 17:06:00,TQQQ,52.875,52.93,52.795,52.8099,168605.0
2025-04-30 17:07:00,TQQQ,52.8,52.88,52.77,52.8653,384165.0
2025-04-30 17:08:00,TQQQ,52.875,52.8871,52.6701,52.695,214045.0
2025-04-30 17:09:00,TQQQ,52.7099,52.74,52.68,52.72,129134.0
2025-04-30 17:10:00,TQQQ,52.7,52.705,52.36,52.415,373178.0
2025-04-30 17:11:00,TQQQ,52.42593,52.55,52.385,52.545,247031.0
2025-04-30 17:12:00,TQQQ,52.5348,52.5348,52.35,52.3746,247248.0
2025-04-30 17:13:00,TQQQ,52.37,52.379,52.2601,52.34,223828.0
2025-04-30 17:14:00,TQQQ,52.33,52.494,52.31,52.4891,176457.0
2025-04-30 17:15:00,TQQQ,52.49,52.67,52.486892,52.655,360038.0
2025-04-30 17:16:00,TQQQ,52.67,52.72,52.56,52.6103,226618.0
2025-04-30 17:17:00,TQQQ,52.6107,52.7607,52.6,52.75,141332.0
2025-04-30 17:18:00,TQQQ,52.7586,52.81,52.71,52.785,196530.0
2025-04-30 17:19:00,TQQQ,52.785,52.8485,52.73,52.765,264764.0
2025-04-30 17:20:00,TQQQ,52.78,52.85,52.75,52.806,87853.0
2025-04-30 17:21:00,TQQQ,52.8,52.85,52.79,52.835,113619.0
2025-04-30 17:22:00,TQQQ,52.84,52.85,52.77,52.78,56224.0
2025-04-30 17:23:00,TQQQ,52.7807,52.86,52.7807,52.8207,81732.0
2025-04-30 17:24:00,TQQQ,52.82,52.86,52.8,52.82,62996.0
2025-04-30 17:25:00,TQQQ,52.82,52.93,52.82,52.924,177372.0
2025-04-30 17:26:00,TQQQ,52.93,53.1399,52.91,53.135,488234.0
2025-04-30 17:27:00,TQQQ,53.14,53.19,53.0507,53.1899,276815.0
2025-04-30 17:28:00,TQQQ,53.185,53.29,53.1503,53.275,250950.0
2025-04-30 17:29:00,TQQQ,53.27,53.3,53.22,53.255,211553.0
2025-04-30 17:30:00,TQQQ,53.25,53.3,53.17,53.2,244207.0
2025-04-30 17:31:00,TQQQ,53.21,53.3212,53.19,53.295,256497.0
2025-04-30 17:32:00,TQQQ,53.29,53.3899,53.26,53.3699,251811.0
2025-04-30 17:33:00,TQQQ,53.365,53.37,53.26,53.29,189022.0
2025-04-30 17:34:00,TQQQ,53.295,53.5399,53.2899,53.5384,365029.0
2025-04-30 17:35:00,TQQQ,53.535,53.62,53.4732,53.6099,342558.0
2025-04-30 17:36:00,TQQQ,53.61,53.65,53.56,53.6452,244411.0
2025-04-30 17:37:00,TQQQ,53.645,53.685,53.6,53.635,269574.0
2025-04-30 17:38:00,TQQQ,53.64,53.69,53.6,53.63,257924.0
2025-04-30 17:39:00,TQQQ,53.64,53.65,53.46,53.4807,455441.0
2025-04-30 17:40:00,TQQQ,53.47,53.5,53.43,53.4719,189187.0
2025-04-30 17:41:00,TQQQ,53.47,53.59,53.47,53.512,134347.0
2025-04-30 17:42:00,TQQQ,53.5249,53.55,53.46,53.545,78418.0
2025-04-30 17:43:00,TQQQ,53.555,53.5985,53.5023,53.5801,107899.0
2025-04-30 17:44:00,TQQQ,53.5793,53.64,53.5301,53.6293,99384.0
2025-04-30 17:45:00,TQQQ,53.62,53.63,53.42,53.505,248626.0
2025-04-30 17:46:00,TQQQ,53.5,53.565,53.424,53.491,126969.0
2025-04-30 17:47:00,TQQQ,53.49,53.525,53.45,53.465,79121.0
2025-04-30 17:48:00,TQQQ,53.475,53.475,53.4101,53.44,99681.0
2025-04-30 17:49:00,TQQQ,53.4484,53.5082,53.43,53.49,85165.0
2025-04-30 17:50:00,TQQQ,53.495,53.61,53.47,53.5982,152461.0
2025-04-30 17:51:00,TQQQ,53.595,53.6299,53.575,53.625,134676.0
2025-04-30 17:52:00,TQQQ,53.62,53.6264,53.57,53.5993,68331.0
2025-04-30 17:53:00,TQQQ,53.5953,53.6,53.5213,53.5401,103833.0
2025-04-30 17:54:00,TQQQ,53.5301,53.6299,53.52,53.625,91506.0
2025-04-30 17:55:00,TQQQ,53.62,53.6699,53.57,53.575,176180.0
2025-04-30 17:56:00,TQQQ,53.575,53.6048,53.42,53.4299,176863.0
2025-04-30 17:57:00,TQQQ,53.426,53.57,53.42,53.56,106120.0
2025-04-30 17:58:00,TQQQ,53.5601,53.58,53.53,53.5594,51355.0
2025-04-30 17:59:00,TQQQ,53.5699,53.5699,53.44,53.44,96978.0
2025-04-30 18:00:00,TQQQ,53.44,53.48,53.31,53.3152,274650.0
2025-04-30 18:01:00,TQQQ,53.3109,53.36,53.29,53.32,136550.0
2025-04-30 18:02:00,TQQQ,53.3265,53.3899,53.2552,53.38,203980.0
2025-04-30 18:03:00,TQQQ,53.375,53.47,53.32,53.325,280197.0
2025-04-30 18:04:00,TQQQ,53.3203,53.4099,53.275,53.396041,73524.0
2025-04-30 18:05:00,TQQQ,53.4077,53.45,53.35,53.375,112944.0
2025-04-30 18:06:00,TQQQ,53.37,53.3863,53.2848,53.345,118519.0
2025-04-30 18:07:00,TQQQ,53.35,54.3,53.35,53.86,2114006.0
2025-04-30 18:08:00,TQQQ,53.87,53.91,53.66,53.77,446541.0
