Datetime,Symbol,Open,High,Low,Close,Volume
2025-05-01 09:30:00,QQQ,498.2,498.26,498.11,498.22,8735
2025-05-01 09:31:00,QQQ,498.18,498.33,498.08,498.14,5654
2025-05-01 09:32:00,QQQ,498.17,498.19,498.1,498.17,2061
2025-05-01 09:33:00,QQQ,498.14,498.32,498.19,498.22,7701
2025-05-01 09:34:00,QQQ,498.09,498.13,498.08,498.11,4357
2025-05-01 09:35:00,QQQ,498.14,498.24,498.04,498.16,3769
2025-05-01 09:36:00,QQQ,498.23,498.27,498.2,498.26,8675
2025-05-01 09:37:00,QQQ,498.4,498.43,498.35,498.38,6410
2025-05-01 09:38:00,QQQ,498.57,498.55,498.49,498.53,9993
2025-05-01 09:39:00,QQQ,498.44,498.43,498.41,498.41,7394
2025-05-01 09:40:00,QQQ,498.46,498.53,498.42,498.51,3776
2025-05-01 09:41:00,QQQ,498.55,498.68,498.48,498.53,7318
2025-05-01 09:42:00,QQQ,498.39,498.61,498.51,498.54,4360
2025-05-01 09:43:00,QQQ,498.52,498.5,498.43,498.49,2206
2025-05-01 09:44:00,QQQ,498.34,498.45,498.29,498.39,3871
2025-05-01 09:45:00,QQQ,498.44,498.47,498.41,498.42,9914
2025-05-01 09:46:00,QQQ,498.37,498.52,498.35,498.36,4397
2025-05-01 09:47:00,QQQ,498.25,498.41,498.19,498.28,8613
2025-05-01 09:48:00,QQQ,498.27,498.29,498.19,498.27,6640
2025-05-01 09:49:00,QQQ,498.13,498.29,498.22,498.23,6844
2025-05-01 09:50:00,QQQ,498.12,498.21,498.1,498.18,1872
2025-05-01 09:51:00,QQQ,498.03,498.21,498.04,498.14,9864
2025-05-01 09:52:00,QQQ,498.14,498.25,498.12,498.14,9972
2025-05-01 09:53:00,QQQ,498.23,498.29,498.13,498.18,5387
2025-05-01 09:54:00,QQQ,498.2,498.27,498.17,498.22,6602
2025-05-01 09:55:00,QQQ,498.14,498.38,498.06,498.22,1920
2025-05-01 09:56:00,QQQ,498.24,498.36,498.26,498.26,1863
2025-05-01 09:57:00,QQQ,498.26,498.25,498.16,498.22,7801
2025-05-01 09:58:00,QQQ,498.32,498.44,498.17,498.29,9652
2025-05-01 09:59:00,QQQ,498.29,498.32,498.18,498.32,3394
2025-05-01 10:00:00,QQQ,498.48,498.42,498.38,498.41,3442
2025-05-01 10:01:00,QQQ,498.37,498.4,498.33,498.34,5647
2025-05-01 10:02:00,QQQ,498.28,498.48,498.22,498.33,3820
2025-05-01 10:03:00,QQQ,498.36,498.51,498.19,498.29,1292
2025-05-01 10:04:00,QQQ,498.35,498.35,498.12,498.33,4258
2025-05-01 10:05:00,QQQ,498.22,498.24,498.12,498.17,2892
2025-05-01 10:06:00,QQQ,498.14,498.24,498.16,498.17,6437
2025-05-01 10:07:00,QQQ,498.03,498.23,498.11,498.11,5257
2025-05-01 10:08:00,QQQ,498.22,498.17,498.01,498.17,3512
2025-05-01 10:09:00,QQQ,498.24,498.22,497.99,498.17,6491
2025-05-01 10:10:00,QQQ,497.9,497.95,497.81,497.86,3763
2025-05-01 10:11:00,QQQ,497.79,498.11,497.73,497.84,8681
2025-05-01 10:12:00,QQQ,498.02,498.03,497.71,497.91,7522
2025-05-01 10:13:00,QQQ,497.67,497.73,497.59,497.69,1475
2025-05-01 10:14:00,QQQ,497.72,497.67,497.55,497.64,8805
2025-05-01 10:15:00,QQQ,497.55,497.49,497.38,497.49,4351
2025-05-01 10:16:00,QQQ,497.45,497.46,497.34,497.41,5763
2025-05-01 10:17:00,QQQ,497.5,497.68,497.42,497.5,5008
2025-05-01 10:18:00,QQQ,497.73,497.71,497.61,497.71,7634
2025-05-01 10:19:00,QQQ,497.68,497.79,497.65,497.72,5920
2025-05-01 10:20:00,QQQ,497.64,497.9,497.62,497.66,3627
2025-05-01 10:21:00,QQQ,497.64,497.64,497.57,497.61,3961
2025-05-01 10:22:00,QQQ,497.55,497.62,497.45,497.55,5112
2025-05-01 10:23:00,QQQ,497.57,497.58,497.42,497.54,2453
